epoch,m_statistic,mean_ndvi_dense,mean_ndvi_degraded,n_dense,n_degraded,std_ndvi_dense,std_ndvi_degraded
1993,1.1729064159015592,0.6595788900545257,0.5141175427067448,334,71,0.0619453832806639,0.06207247984609843
1998,0.7570009177369603,0.6200722330007594,0.48512364607868774,346,66,0.09690484234864442,0.08136255965860531
2003,0.9991629807874665,0.639681648709932,0.47820663808936803,347,71,0.0823338152527812,0.07927646627836733
2008,0.9214597225872646,0.5909278094768524,0.4801794754389005,171,195,0.05950880150668195,0.060679125673677
2018,1.270362080475896,0.6979237677052964,0.5641770211743636,344,71,0.05882522288309359,0.046457159664746076
2023,1.147650153724433,0.6882961974172535,0.5581445501910316,334,90,0.06312084460751785,0.05028623053976879
